aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
119077;Leucocryptos marina;phy;Cryptophyta;(Braarud) Butcher, 1967
106303;Plagioselmis prolonga;phy;Cryptophyta;Butcher ex G.Novarino, I.A.N.Lucas & S.Morrall, 1994
106289;Rhodomonas;phy;Cryptophyta;G. Karsten, 1898
106313;Rhodomonas baltica;phy;Cryptophyta;Karsten, 1898
248152;Rhodomonas lacustris var. nannoplanctica;phy;Cryptophyta;(Skuja) Javornicky, 1976
106314;Rhodomonas marina;phy;Cryptophyta;(P.A.Dangeard) Lemmermann, 1899
106285;Teleaulax;phy;Cryptophyta;Hill, 1991
106305;Teleaulax acuta;phy;Cryptophyta;(Butcher) D.R.A.Hill, 1991
106306;Teleaulax amphioxeia;phy;Cryptophyta;(W.Conrad) D.R.A.Hill, 1992
118028;Telonema;phy;Cryptophyta;Griessmann, 1913
118075;Telonema subtile;phy;Cryptophyta;Greissmann, 1913
146585;Anabaena;phy;Cyanobacteria;Bory de Saint-Vincent ex Bornet & Flahault, 1886
160567;Aphanizomenon;phy;Cyanobacteria;A.Morren ex Bornet & Flahault, 1888
146562;Aphanocapsa;phy;Cyanobacteria;C.Nägeli, 1849
146715;Aphanothece;phy;Cyanobacteria;C.Nägeli, 1849
177108;Cyanodictyon;phy;Cyanobacteria;Pascher, 1914
146579;Dactylococcopsis;phy;Cyanobacteria;Hansgirg
601568;Diplonema;phy;Cyanobacteria;Borzí, 1917
211903;Entophysalis deusta;phy;Cyanobacteria;(Meneghini) F.E.Drouet & W.A.Daily, 1948
146627;Hyella;phy;Cyanobacteria;Bornet & Flahault, 1888
146628;Hyella caespitosa;phy;Cyanobacteria;Bornet & Flahault, 1888
177506;Limnothrix;phy;Cyanobacteria;Meffert, 1987
146545;Merismopedia;phy;Cyanobacteria;Meyen, 1839
146578;Merismopedia glauca;phy;Cyanobacteria;(Ehrenberg) Kützing, 1845
146557;Microcystis;phy;Cyanobacteria;Lemmermann, 1907
160566;Nodularia spumigena;phy;Cyanobacteria;Mertens ex Bornet & Flahault, 1888
146549;Oscillatoria;phy;Cyanobacteria;Vaucher ex Gomont, 1892
146551;Planktothrix;phy;Cyanobacteria;Anagnostidis & Komárek, 1988
345515;Prochlorococcus;phy;Cyanobacteria;S.W.Chisholm, S.L.Frankel, R.Goericke, R.J.Olson, B.Palenik, J.B.Waterbury, L.West-Johnsrud & E.R.Zettler, 1992
177588;Pseudanabaena;phy;Cyanobacteria;Lauterborn, 1915
146655;Schizothrix;phy;Cyanobacteria;Kützing ex Gomont, 1892
625763;Scytonematopsis crustacea;phy;Cyanobacteria;(Thuret ex Bornet & Flahault) Koválik & Komárek, 1988
146541;Spirulina;phy;Cyanobacteria;Turpin ex Gomont, 1892
160572;Synechococcus;phy;Cyanobacteria;Nägeli, 1849
177604;Trichodesmium;phy;Cyanobacteria;Ehrenberg ex Gomont, 1892
146617;Woronichinia;phy;Cyanobacteria;Elenkin, 1933
8030;Anisonema;phy;Euglenozoa;Dujardin, 1841
110643;Anisonema prosgeobium;phy;Euglenozoa;Skuja, 1939
110644;Anisonema trepidum;phy;Euglenozoa;Larsen
163791;Astasia;phy;Euglenozoa;Dujardin, 1841
22557;Bodo;phy;Euglenozoa;Ehrenberg, 1832
146181;Diplonema ambulator;phy;Euglenozoa;Larsen & Patterson, 1990
146175;Diplonema breviciliatum;phy;Euglenozoa;K.Griessmann, 1913
178591;Distigma;phy;Euglenozoa;Ehrenberg, 1831
8012;Euglena;phy;Euglenozoa;Ehrenberg, 1830
178582;Eutreptia;phy;Euglenozoa;Perty, 1852
17657;Eutreptiella;phy;Euglenozoa;A.da Cunha, 1914
110652;Eutreptiella gymnastica;phy;Euglenozoa;Throndsen, 1969
160556;Eutreptiella marina;phy;Euglenozoa;da Cunha, 1914
573872;Eutreptiella pascheri;phy;Euglenozoa;(Schiller) Pascher, 1927
146165;Hemistasia;phy;Euglenozoa;Griessmann, 1913
146166;Hemistasia phaeocystidicola;phy;Euglenozoa;(Scherffel, 1900) Elbrächter & Schnepf, 1996
8022;Heteronema;phy;Euglenozoa;Dujardin, 1878
600881;Menoidium;phy;Euglenozoa;Perty, 1852
1371617;Neometanema ovale;phy;Euglenozoa;(Kahl) W.J.Lee & A.G.B.Simpson, 2014
8038;Petalomonas;phy;Euglenozoa;F.Stein, 1859
163339;Phacus;phy;Euglenozoa;Dujardin, 1841
22733;Ploeotia;phy;Euglenozoa;Dujardin, 1841
146161;Rhynchomonas;phy;Euglenozoa;Klebs, 1892
146163;Rhynchomonas nasuta;phy;Euglenozoa;(Stokes) Klebs, 1892
146178;Rhynchopus;phy;Euglenozoa;Skuja, 1948
146180;Rhynchopus coscinodiscivorus;phy;Euglenozoa;E.Schnepf
163247;Trachelomonas;phy;Euglenozoa;Ehrenberg, 1834
8027;Urceolus;phy;Euglenozoa;C.von Mereschkowsky, 1879
115083;Acanthoica;phy;Haptophyta;Lohmann, 1903
115101;Acanthoica acanthifera;phy;Haptophyta;Lohmann ex Lohmann, 1913
235909;Acanthoica coronata;phy;Haptophyta;Lohmann, 1903
235802;Acanthoica quattrospina;phy;Haptophyta;Lohmann, 1903
235913;Algirosphaera robusta;phy;Haptophyta;(Lohmann) R.E.Norris, 1984
235849;Braarudosphaera;phy;Haptophyta;Deflandre, 1947
235922;Braarudosphaera bigelowii;phy;Haptophyta;(Gran & Braarud) Deflandre, 1947
235923;Calcidiscus leptoporus;phy;Haptophyta;(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978
555889;Calciosolenia brasiliensis;phy;Haptophyta;(Lohmann) J.R.Young, 2003
235828;Calyptrosphaera;phy;Haptophyta;Lohmann, 1902
115090;Chrysochromulina;phy;Haptophyta;Lackey, 1939
115126;Chrysochromulina parkeae;phy;Haptophyta;J.C.Green & Leadbeater, 1972
115128;Chrysochromulina pringsheimii;phy;Haptophyta;Parke & Manton, 1962
115129;Chrysochromulina spinifera;phy;Haptophyta;(Fournier) Pienaar & R.E.Norris, 1979
837255;Chrysotila carterae;phy;Haptophyta;(Braarud & Fagerland) Andersen, Kim, Tittley & Yoon, 2014
615414;Chrysotila stipitata;phy;Haptophyta;Anand, 1936
178598;Coccolithus;phy;Haptophyta;E.H.L.Schwarz, 1894
